

===== 2026-08-19T08:02:17 START C:\Users\sasit\AppData\Local\Programs\Python\Python310\pythonw.exe D:\kabu\main\1-スクリーニング自動化プログラム\main\空売り無しリスト出しスクリプト.py =====
[karauri] 同日resume: 未完了=3587
[karauri][HTTP] targets=3587 workers=16 retries=1
[karauri][PROGRESS] 2775/3587 rate=33.85/s elapsed=1.4m eta=0.4m
[karauri][PROGRESS] 2800/3587 rate=33.88/s elapsed=1.4m eta=0.4m
[karauri][COMMIT] 2800/3587 ok=2795 fail=5 no_short=328
[karauri][PROGRESS] 2825/3587 rate=33.77/s elapsed=1.4m eta=0.4m
[karauri][PROGRESS] 2850/3587 rate=33.75/s elapsed=1.4m eta=0.4m
[karauri][PROGRESS] 2875/3587 rate=33.72/s elapsed=1.4m eta=0.4m
[karauri][PROGRESS] 2900/3587 rate=33.74/s elapsed=1.4m eta=0.3m
[karauri][PROGRESS] 2925/3587 rate=33.78/s elapsed=1.4m eta=0.3m
[karauri][PROGRESS] 2950/3587 rate=33.77/s elapsed=1.5m eta=0.3m
[karauri][PROGRESS] 2975/3587 rate=33.74/s elapsed=1.5m eta=0.3m
[karauri][PROGRESS] 3000/3587 rate=33.77/s elapsed=1.5m eta=0.3m
[karauri][COMMIT] 3000/3587 ok=2995 fail=5 no_short=347
[karauri][PROGRESS] 3025/3587 rate=33.63/s elapsed=1.5m eta=0.3m
[karauri] retry 1/1 wait=0.4s: transient HTTP 500
[karauri][PROGRESS] 3050/3587 rate=33.64/s elapsed=1.5m eta=0.3m
[karauri][PROGRESS] 3075/3587 rate=33.56/s elapsed=1.5m eta=0.3m
[karauri][PROGRESS] 3100/3587 rate=33.58/s elapsed=1.5m eta=0.2m
[karauri][PROGRESS] 3125/3587 rate=33.56/s elapsed=1.6m eta=0.2m
[karauri][PROGRESS] 3150/3587 rate=33.49/s elapsed=1.6m eta=0.2m
[karauri][PROGRESS] 3175/3587 rate=33.50/s elapsed=1.6m eta=0.2m
[karauri][PROGRESS] 3200/3587 rate=33.41/s elapsed=1.6m eta=0.2m
[karauri][COMMIT] 3200/3587 ok=3195 fail=5 no_short=360
[karauri][PROGRESS] 3225/3587 rate=33.30/s elapsed=1.6m eta=0.2m
[karauri][PROGRESS] 3250/3587 rate=33.30/s elapsed=1.6m eta=0.2m
[karauri][PROGRESS] 3275/3587 rate=33.27/s elapsed=1.6m eta=0.2m
[karauri][PROGRESS] 3300/3587 rate=33.28/s elapsed=1.7m eta=0.1m
[karauri][PROGRESS] 3325/3587 rate=33.28/s elapsed=1.7m eta=0.1m
[karauri][PROGRESS] 3350/3587 rate=33.24/s elapsed=1.7m eta=0.1m
[karauri][PROGRESS] 3375/3587 rate=33.18/s elapsed=1.7m eta=0.1m
[karauri][PROGRESS] 3400/3587 rate=33.15/s elapsed=1.7m eta=0.1m
[karauri][COMMIT] 3400/3587 ok=3393 fail=7 no_short=375
[karauri][PROGRESS] 3425/3587 rate=33.06/s elapsed=1.7m eta=0.1m
[karauri][PROGRESS] 3450/3587 rate=32.91/s elapsed=1.7m eta=0.1m
[karauri][PROGRESS] 3475/3587 rate=32.94/s elapsed=1.8m eta=0.1m
[karauri][PROGRESS] 3500/3587 rate=32.88/s elapsed=1.8m eta=0.0m
[karauri][PROGRESS] 3525/3587 rate=32.87/s elapsed=1.8m eta=0.0m
[karauri][PROGRESS] 3550/3587 rate=32.82/s elapsed=1.8m eta=0.0m
[karauri] retry 1/1 wait=0.4s: transient HTTP 500
[karauri][PROGRESS] 3575/3587 rate=32.78/s elapsed=1.8m eta=0.0m
[karauri][PROGRESS] 3587/3587 rate=32.58/s elapsed=1.8m eta=0.0m
[karauri][COMMIT] 3587/3587 ok=3578 fail=9 no_short=390
[karauri] 今回 ok=3578 fail=9 no_short=390
[karauri][PARTIAL] 未完了=9 sample=['556A', '558A', '559A', '581A', '584A', '589A', '590A', '593A', '598A']
===== 2026-08-19T08:04:08 END status=partial rc=2 =====
